Food,Freq(Hz),Z(Ohm),PA,Time(m),R+,Fat,Cholesterol,Sodium,Potassium,Total carbohydrate,Protein,pH,ORP,Conductivity (100H),Conductivity (400H),Conductivity (10kH),Conductivity (100kH),DO (ppm),L,a*,b*
Cream,100007,222.783,-0.057823,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,89134.1,221.639,-0.151322,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,79433.6,220.898,-0.351854,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,70800.8,220.411,-0.394239,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,63105.5,220.418,-0.457413,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,56243.5,220.26,-0.590129,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,50123.7,219.928,-0.637571,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,44681,219.782,-0.860071,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,39811.2,219.928,-0.96201,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,35488.3,219.775,-1.08442,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,31634.1,219.884,-1.31099,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,28173.1,219.764,-1.39173,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,25123.7,220.106,-1.46651,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,22389.3,220.343,-1.65138,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,19954.4,220.346,-1.86602,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,17778.2,220.671,-2.06365,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,15852.9,220.665,-2.22889,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,14122.3,221.228,-2.462,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,12587.2,221.308,-2.75236,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,11221.1,221.85,-3.04986,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,9998.2,222.223,-3.2469,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,8912.76,222.596,-3.48738,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,7942.6,222.967,-3.86042,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,7078.05,223.579,-4.29862,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,6311.1,224.253,-4.69307,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,5622.14,224.523,-5.13997,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,5011.18,225.482,-5.69056,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,4465.21,226.686,-6.31999,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,3980.93,227.056,-6.82664,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,3548.18,228.327,-7.53711,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,3162.67,229.224,-8.22001,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,2819.01,230.498,-8.98637,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,2511.16,231.941,-9.8062,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,2238.63,233.434,-10.7937,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
Cream,1995.37,235.615,-11.8286,0,1,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
